  -10667.694212    -535.735768  245240.893052
  -10670.571486    -494.369655  245241.078314
  -10672.662332    -451.830298  245241.238492
  -10673.982474    -408.166796  245241.374035
  -10674.400573    -363.372442  245241.480366
  -10673.823283    -317.510310  245241.554094
  -10672.262033    -270.580732  245241.595618
  -10669.574242    -222.668232  245241.599780
  -10665.762683    -173.775750  245241.566673
  -10660.790235    -123.999482  245241.494801
  -10654.553543     -73.353566  245241.380524
  -10647.044558     -21.917881  245241.223396
  -10638.246992      30.239382  245241.022709
  -10628.273625      83.063416  245240.782292
  -10617.184223     136.446606  245240.504013
  -10605.283239     190.337116  245240.198408
  -10592.832873     244.607093  245239.874378
  -10579.913891     299.182641  245239.534596
  -10566.735213     353.971804  245239.186175
  -10553.407532     408.848307  245238.832724
  -10540.274713     463.739130  245238.486114
  -10527.464259     518.506062  245238.150516
  -10515.184420     573.034275  245237.832976
  -10503.561426     627.239958  245237.537732
  -10492.756479     680.963884  245237.270093
  -10482.872537     734.108616  245237.033458
  -10473.946761     786.575784  245236.828924
  -10466.054309     838.197236  245236.658774
  -10459.181250     888.887544  245236.522346
  -10453.313067     938.541269  245236.418917
  -10448.579036     986.982951  245236.352646
  -10444.913715    1034.125808  245236.321067
  -10442.248056    1079.857416  245236.321538
  -10440.506292    1124.031210  245236.351109
  -10439.691802    1166.566978  245236.409736
  -10439.670410    1207.374230  245236.492543
  -10440.402322    1246.265291  245236.597755
  -10441.771340    1283.177758  245236.721183
  -10443.761092    1318.040581  245236.862110
  -10446.207411    1350.715506  245237.014514
  -10448.990490    1381.114486  245237.174028
  -10451.806314    1409.206368  245237.329963
  -10454.485755    1434.878798  245237.476176
  -10456.993963    1458.015486  245237.611214
  -10459.313881    1478.619794  245237.734485
  -10461.415352    1496.638241  245237.844826
  -10463.250681    1511.906275  245237.940234
  -10464.797764    1524.450295  245238.019991
  -10466.051616    1534.393477  245238.084173
  -10466.962124    1541.488365  245238.130523
  -10467.467598    1545.384836  245238.156168
  -10467.678009    1547.009564  245238.166848
